Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Processed_Text
427584,B0006U7T1C,AEZFRRYFC6TRO,"Rach ""rach2424""",0,0,1,1311206400,My dog is REALLY sick from these,"I gave my dog her first jumbone two days ago. Since then she has been super sick, lethargic, and throwing up about 3x per day. If this does not get better tomorrow morning I will be taking her to the vet :(",gave dog first jumbone two days ago since super sick lethargic throwing x per day get better tomorrow morning taking vet
51438,B001VJ5CXE,A2AVYSXICESSTK,E. Kerby,2,2,5,1288224000,Quality food for large breed puppies!,"I feed this dog food to my puppy ""Chalcy"" because it is meant for large breed dogs and she is a Great Dane.<br /><br />It surprises me that the other reviewer's dog didn't like this food, because Chalcy loves her food!  The family that I bought Chalcy from fed this type of food to all of their puppies (and they all liked it, too)!<br /><br />Also, Chalcy's vet asked me what I was feeding her, and he agreed that this was a good pick.  Large breed dogs need food that has different ingredients than other dogs.<br /><br />On the package, Iams claims that this food will help puppies have:<br />- Strong Bones<br />- Strong Immune System<br />- Healthy Teeth<br />- Strong Muscles<br />- Healthy Heart<br />- Healthy Skin & Coat<br />- Healthy Digestion<br /><br />I don't know how my puppy would have been if I had fed her different food, but her vet complimented the way her bones are developing, she has never been sick, her teeth are very clean and healthy, she does have strong and firm muscles, when I take her places she always gets compliments on her shiny coat, and she has not had any digestive problems at all.  She's a very healthy puppy!  I do think Iams Large Breed Puppy food has contributed to that.",feed dog food puppy chalcy meant large breed dogs great danebr br surprises reviewers dog didnt like food chalcy loves food family bought chalcy fed type food puppies liked toobr br also chalcys vet asked feeding agreed good pick large breed dogs need food different ingredients dogsbr br package iams claims food help puppies havebr strong bonesbr strong immune systembr healthy teethbr strong musclesbr healthy heartbr healthy skin coatbr healthy digestionbr br dont know puppy would fed different food vet complimented way bones developing never sick teeth clean healthy strong firm muscles take places always gets compliments shiny coat digestive problems shes healthy puppy think iams large breed puppy food contributed
436661,B008O3G2GG,A6SM104267C1C,"C. J. Postelli ""The Good Aunt""",1,2,1,1322092800,MY DOGS DIDN'T LIKE THIS AT ALL!!,"I tried this product on my dogs 3 times and each time, they would not touch it!  Admittedly, my dogs are picky, but no even one of them would try it.  They would walk up and sniff it, but they would not even taste it.  My dogs (3) are all small dogs and don't eat a lot of food.  Maybe if your dog is larger or less picky, it would appeal, but I can't say I would recommend this product.",tried product dogs times time would touch admittedly dogs picky even one would try would walk sniff would even taste dogs small dogs dont eat lot food maybe dog larger less picky would appeal cant say would recommend product
11584,B001EQ4JS8,A1PAGHECG401K1,"Chel Micheline ""Chel Micheline""",1,1,5,1284681600,Delicious breakfast tea,"This is a wonderful English Breakfast tea- nicely flavorful without being either too bold or too bland. Makes a wonderful morning tea without any sort of bitterness or tang-y taste to it. It's a nice comfort tea and a good start to loose teas for anyone who has been using bags and doesn't know which flavor loose teas to start with.<br /><br />I recommend brewing as follows: 2 teaspoons to 12-16 ounces of boiling water for 3.5 minutes. If you overbrew (particularly Adagio's teas), there's a chance for bitterness, so I would not recommend leaving it in the water for a long time.<br /><br />Another recommendation is Adagio's Irish Breakfast (which I slightly prefer) but both teas are standouts!",wonderful english breakfast tea nicely flavorful without either bold bland makes wonderful morning tea without sort bitterness tangy taste nice comfort tea good start loose teas anyone using bags doesnt know flavor loose teas start withbr br recommend brewing follows teaspoons ounces boiling water minutes overbrew particularly adagios teas theres chance bitterness would recommend leaving water long timebr br another recommendation adagios irish breakfast slightly prefer teas standouts
278207,B001EQ4JD8,A1669RGZ288R3O,Joan Masters,11,11,5,1200009600,Very tasty,"The nuts were fresh and very tasty. I bought them for baking, but also ended up toasting them just to snack on.",nuts fresh tasty bought baking also ended toasting snack
220548,B0034EDLS2,AL48B8964O9YV,Mary Apel,0,0,5,1350691200,The Best!,"I am pleased with this product.  I have diabetes and carry a bar in my purse--just in case I might need.  My Grandson introduced ""Kind Bars"" to me telling me they are good for you. I have shared with several people and all tell me they enjoyed them (especially the mail man).  I have tried 5 different kinds --so far.",pleased product diabetes carry bar pursejust case might need grandson introduced kind bars telling good shared several people tell enjoyed especially mail man tried different kinds far
283315,B0012XJBEU,APGQ01TK0P3UQ,Pip,2,2,3,1343692800,It's not bad but it's not that gr8!,"The taste is fine.  It wasn't what I was looking for.  I like to chew my candies. I was looking for a very, very hard lollipops to keep my mouth busy a long time and at the same time taste good - a little sour and a little sweet.  These so called lollipop are the size of the life saver candies but without the holes that you can buy from the store.  They are not that hard and they are thin so I can bite it and eat it in a minute or less..:(",taste fine wasnt looking like chew candies looking hard lollipops keep mouth busy long time time taste good little sour little sweet called lollipop size life saver candies without holes buy store hard thin bite eat minute less
442138,B000BYAEEC,A1FW3R60VF96TJ,"Melissa Walker ""Love my dog""",0,0,5,1259712000,She loved it,My dog loved it.  Each bone was big and lasted quite a while.  My sister's dog (the recipient of 2 of the bones) also loved it.,dog loved bone big lasted quite sisters dog recipient bones also loved
346528,B001EO5RVI,A7GOOXO6WM2PB,"BJ Markle ""sparkles""",1,1,5,1343260800,"Great Product, not so great packaging",As good tasting as any non organic corflakes out there... and better... being organic means no GMO... yeah!!!!  They are really nice for breakfast time.  Only problem was all six packages came tied together with packing tape... no thought put in packing the six boxes.  The boxes were destroyed in order to separate them .. what a shame someone was giving a roll of packing tape who did not know how to use it properly.,good tasting non organic corflakes better organic means gmo yeah really nice breakfast time problem six packages came tied together packing tape thought put packing six boxes boxes destroyed order separate shame someone giving roll packing tape know use properly
514293,B000YK7V9O,A2IT0PN518M9DK,"S. Blackmon ""kuntrygurl""",5,5,5,1295308800,My cat loves this stuff,When Science Diet changed their recipe to 'natural' my cat (a chocolate point siamese) started throwing up a lot - like twice a week.<br /><br />I ended up switching to Royal Canin special 33 (about 2yrs ago) and he hasn't had any issues.<br /><br />worth the extra money to not have to clean catpuke all the time.,science diet changed recipe natural cat chocolate point siamese started throwing lot like twice weekbr br ended switching royal canin special yrs ago hasnt issuesbr br worth extra money clean catpuke time
